sample_name,gso_category
كيكة زعفران,Cereals; Legumes and their Products
كروسان جبن,Cereals; Legumes and their Products
كيكة فراولة,Cereals; Legumes and their Products
كيكة شوكولاتة,Cereals; Legumes and their Products
انقلش كيك,Cereals; Legumes and their Products
كيك اوريو,Cereals; Legumes and their Products
خبز صامولي ابيض,Cereals; Legumes and their Products
كيكة رد فلفت,Cereals; Legumes and their Products
حلا تطلي,Ready to Eat Foods
كروسان بالجبنة,Cereals; Legumes and their Products
خبز تميس,Cereals; Legumes and their Products
تشيز كيك ايس كريم,Dairy Products
كيك شوكولاتة,Cereals; Legumes and their Products
فطيرة سادة,Cereals; Legumes and their Products
كورسان شوكولاتة,Cereals; Legumes and their Products
فطيرة جبن شيدر,Cereals; Legumes and their Products
حلا تشيز كيك,Cereals; Legumes and their Products
دونت لوتس,Cereals; Legumes and their Products
كروسان لبنة بالزعتر,Cereals; Legumes and their Products
كيك ليمون,Cereals; Legumes and their Products
تارت فواكه,Ready to Eat Foods
فطيرة خضار,Ready to Eat Foods
كيكة تراميسو,Cereals; Legumes and their Products
حلا كراميل,Ready to Eat Foods
سينابون,Cereals; Legumes and their Products
براوني,Cereals; Legumes and their Products
دونت نوتيلا,Cereals; Legumes and their Products
كروسان بستاشو,Cereals; Legumes and their Products
تشيز كيك مدريد,Cereals; Legumes and their Products
كوكيز شوكليت,Cereals; Legumes and their Products
جيلي احمر,"Jelly, Jam and Marmalade"
كعك سكر,Cereals; Legumes and their Products
كعك سادة,Cereals; Legumes and their Products
كيك,Cereals; Legumes and their Products
بسكوت,Cereals; Legumes and their Products
دنيش بلو بيري,Cereals; Legumes and their Products
فطيرة لبنة زعتر,Ready to Eat Foods
مافن كيك,Cereals; Legumes and their Products
كيكة لوتس,Cereals; Legumes and their Products
تيراميسو,Cereals; Legumes and their Products
كيك بستاشو,Cereals; Legumes and their Products
حلا جالكسي,Cereals; Legumes and their Products
حلا فيمتو,Cereals; Legumes and their Products
حلا الشيف,Cereals; Legumes and their Products
حلا مانجا ترفل,Cereals; Legumes and their Products
فطيرة جبنة بيضاء,Ready to Eat Foods
كيك كراميل,Cereals; Legumes and their Products
كيك كت كات,Cereals; Legumes and their Products
جلي احمر,"Jelly, Jam and Marmalade"
عصيدة,Cereals; Legumes and their Products
تشيز كيك شوكولاتة,Cereals; Legumes and their Products
حلا شوكولاتة بالجوز الهند,Cereals; Legumes and their Products
حلا بيتي فور مشكل,Cereals; Legumes and their Products
تشيز كيك بلو بيري,Cereals; Legumes and their Products
خبز مشلتت لبنة بالعسل,Ready to Eat Foods
كورسان جبن مالح,Cereals; Legumes and their Products
كيك لوتس,Cereals; Legumes and their Products
كروسان جبنة,Cereals; Legumes and their Products
بيتزا صغير,Ready to Eat Foods
مسحة حافظة الشابورة,Environmental Swabs
خبز محمص,Cereals; Legumes and their Products
بسكوت سمسم,Cereals; Legumes and their Products
كروسان جبنة سائلة,Cereals; Legumes and their Products
دونت كراميل كرانش,Cereals; Legumes and their Products
حلا خشخاش,Cereals; Legumes and their Products
حلا شعيرية,Cereals; Legumes and their Products
حلا كاستر,Cereals; Legumes and their Products
كروسان جبنة شيدر,Cereals; Legumes and their Products
تشيز كيك اوريو,Cereals; Legumes and their Products
كيك فانيلا,Cereals; Legumes and their Products
فطيرة جبن,Cereals; Legumes and their Products
تشيز كيك فانيلا,Cereals; Legumes and their Products
تشيز ايس كريم,Dairy Products
كريم كراميل حلا,Ready to Eat Foods
حلا نوتيلا,Cereals; Legumes and their Products
حلا جلي القرية,"Jelly, Jam and Marmalade"
