sample_name,gso_category
كروسان بالتمر,Cereals; Legumes and their Products
بسكوت بالتمر,Cereals; Legumes and their Products
كروسان جبن ابيض,Cereals; Legumes and their Products
برازق (مخبوزات),Cereals; Legumes and their Products
كعك مصري,Cereals; Legumes and their Products
بسكوت فانيلا,Cereals; Legumes and their Products
خبز تركي,Cereals; Legumes and their Products
خلية جبن,Cereals; Legumes and their Products
فطيرة جبنة مكدوس,Ready to Eat Foods
فطيرة لبنة حارة,Ready to Eat Foods
فطيرة جبنة زيتون,Ready to Eat Foods
فطيرة عكاوي,Ready to Eat Foods
فطيرة سبانخ بالجبن,Ready to Eat Foods
بوف باستري,Cereals; Legumes and their Products
كلير لوتس,Cereals; Legumes and their Products
براونيس,Cereals; Legumes and their Products
سافلية,Cereals; Legumes and their Products
كيك بالمانجا,Cereals; Legumes and their Products
كيك بالتمر,Cereals; Legumes and their Products
كيك بالعسل,Cereals; Legumes and their Products
تشيز كيك كنافة,Cereals; Legumes and their Products
كيك زعفران,Cereals; Legumes and their Products
بلاك فورست,Cereals; Legumes and their Products
كرات التمر بالفول السوداني,Cereals; Legumes and their Products
كيكة كابتشينو,Cereals; Legumes and their Products
كيك الشوكولاتة,Cereals; Legumes and their Products
فطيرة دجاج تك,Ready to Eat Foods
فطيرة دجاج بيرازو,Ready to Eat Foods
خبز شطة,Cereals; Legumes and their Products
كاسترد,Ready to Eat Foods
كاب كيك ليمون,Cereals; Legumes and their Products
تارت,Ready to Eat Foods
كيك سنكرز,Cereals; Legumes and their Products
تشيز جوز الهند,Cereals; Legumes and their Products
كروسون لوز صغير,Cereals; Legumes and their Products
كروسون بيكان صغير,Cereals; Legumes and their Products
لاتية كيك,Cereals; Legumes and their Products
وايت كوكيز,Cereals; Legumes and their Products
كوكيز براوني,Cereals; Legumes and their Products
سينابون تشيز كيك,Cereals; Legumes and their Products
كروسان حلومي,Cereals; Legumes and their Products
كروسان شباتا تونة,Cereals; Legumes and their Products
كروسان صدور دجاج مدخن,Cereals; Legumes and their Products
فطيرة بتزا,Ready to Eat Foods
فطيرة لبنة زيتون,Ready to Eat Foods
ميلفي شوكولاتة,Cereals; Legumes and their Products
ميلفي مربى,Cereals; Legumes and their Products
كاتو فرنسي,Cereals; Legumes and their Products
تشز كيك,Cereals; Legumes and their Products
كيك نوتيلا شوكولاتة,Cereals; Legumes and their Products
كيك ميكانو شوكولاتة,Cereals; Legumes and their Products
فطيرة لبنة زعتز,Ready to Eat Foods
فطيرة كاستر مع توت,Ready to Eat Foods
ايس كريم تشيز كيك حلا,Cereals; Legumes and their Products
اوريو حلا,Cereals; Legumes and their Products
مانجو بيري حلا,Cereals; Legumes and their Products
سنكرز حلا,Cereals; Legumes and their Products
جالكسي حلا,Cereals; Legumes and their Products
كاستر حلا,Ready to Eat Foods
كيكة بستاشو نوتيلا,Cereals; Legumes and their Products
كيكة لايس فيجاس,Cereals; Legumes and their Products
خبز افوكاشيا,Cereals; Legumes and their Products
ترفل شوكولات,Cereals; Legumes and their Products
سان سباستيان,Cereals; Legumes and their Products
شوكولاتة موس كيك,Cereals; Legumes and their Products
اوريو تشيزكيك,Cereals; Legumes and their Products
دانيش فروت فطيرة,Ready to Eat Foods
دانيش تشيز فطيرة,Ready to Eat Foods
سينابو حلا,Cereals; Legumes and their Products
لوتس جور حلا,Cereals; Legumes and their Products
لوتس حلا,Cereals; Legumes and their Products
كوكن ترول حلا,Cereals; Legumes and their Products
بيكان ترول حلا,Cereals; Legumes and their Products
لمنكتون حلا,Cereals; Legumes and their Products
بيكان تارت,Ready to Eat Foods
تشيز كيك بستاشو حلا,Cereals; Legumes and their Products
كيكة عسل لقمة وردية,Cereals; Legumes and their Products
فطير مشلتت جبن كيري مع عسل,Ready to Eat Foods
فطيرة تمرية,Ready to Eat Foods
كيك كراميل حلا,Cereals; Legumes and their Products
سان سبيستيان حلا,Cereals; Legumes and their Products
تويست بالجبنة,Ready to Eat Foods
كروسون زعتر فرنسي,Cereals; Legumes and their Products
رول برك بالجبنة و السبانخ,Ready to Eat Foods
رول بطاطس,Ready to Eat Foods
مادلين محشي شوكولاتة,Cereals; Legumes and their Products
وافل لؤلؤة السكر,Cereals; Legumes and their Products
دونت شوكولاتة بيضاء,Cereals; Legumes and their Products
دونت بالشوكولاتة,Cereals; Legumes and their Products
لابا كيك شوكولاتة,Cereals; Legumes and their Products
سعودي تراميسو,Cereals; Legumes and their Products
ميني براونيز,Cereals; Legumes and their Products
كريب دنتيل وايت شوكولاتة,Cereals; Legumes and their Products
كوكيز كراميل وبندق,Cereals; Legumes and their Products
ماتشا مع كريم بستاشو,Beverages
بسكوت مع كراميل,Cereals; Legumes and their Products
لوتس سورس,Cereals; Legumes and their Products
داي استب سورس,Cereals; Legumes and their Products
تشيز كيك ديلسي سورس,Cereals; Legumes and their Products
حلا تراميسو سورس,Cereals; Legumes and their Products
خبز بلدي,Cereals; Legumes and their Products
قطع خبز صامولي,Cereals; Legumes and their Products
فطيرة جبنة مالحة,Ready to Eat Foods
كروسون جبن شيدر,Cereals; Legumes and their Products
كروسان جبن مالح زعتر,Cereals; Legumes and their Products
مشلتت جبن شيدر,Ready to Eat Foods
فطيرة لبنة وزعتر,Ready to Eat Foods
مشلتت جبن,Ready to Eat Foods
كروسان جبن كيري,Cereals; Legumes and their Products
كيك لمين تون,Cereals; Legumes and their Products
سودن كيك,Cereals; Legumes and their Products
كريم رولية,Ready to Eat Foods
كريم براون,Ready to Eat Foods
بسكوت اوريو,Cereals; Legumes and their Products
بودنق,Cereals; Legumes and their Products
كاستر مع شوكولاتة,Ready to Eat Foods
بروني لايت,Cereals; Legumes and their Products
كروسان لبنة و زيتون,Cereals; Legumes and their Products
فطير مشلتت جبن سائل,Ready to Eat Foods
بسكوت مربى فراولة,Cereals; Legumes and their Products
شابورة كيك,Cereals; Legumes and their Products
خبز محمر,Ready to Eat Foods
خبز تورتيلا,Cereals; Legumes and their Products
دونت شوكر,Cereals; Legumes and their Products
دونت قرف وسكر,Cereals; Legumes and their Products
دونت فراولة,Cereals; Legumes and their Products
دونت بندق,Cereals; Legumes and their Products
دونت دبل تشوكليت,Cereals; Legumes and their Products
دونت فروستينق بيكان,Cereals; Legumes and their Products
دونت كريم برولية,Cereals; Legumes and their Products
دونت فراولة اسبرينكلز,Cereals; Legumes and their Products
قرفة رول,Cereals; Legumes and their Products
قرفة تويست,Cereals; Legumes and their Products
دونت الفول السوداني محشي بلو بيري,Cereals; Legumes and their Products
فونش كولر تشوكليت,Cereals; Legumes and their Products
قرفة فرنش كولر قليز,Cereals; Legumes and their Products
فرنش كولر قليز,Cereals; Legumes and their Products
اولد فاشن جليز,Cereals; Legumes and their Products
اولد فاشن جوز الهند,Cereals; Legumes and their Products
شوكولاتة براوني,Cereals; Legumes and their Products
كيك بجوز الهند,Cereals; Legumes and their Products
حلا جلي وجوز الهند,"Jelly, Jam and Marmalade"
حلا جوز الهند وبابايا,Cereals; Legumes and their Products
حلا يوبي كيك,Cereals; Legumes and their Products
حلا لس بلان,Cereals; Legumes and their Products
حلا ياما كيك,Cereals; Legumes and their Products
حلا هالو هالو,Cereals; Legumes and their Products
حلا بكو بنتر,Cereals; Legumes and their Products
فطير مشلتت,Ready to Eat Foods
كيك راز بيري,Cereals; Legumes and their Products
كيك شوكليت فانيلا,Cereals; Legumes and their Products
كيك المول بالكراميل,Cereals; Legumes and their Products
كيك اوبيرا,Cereals; Legumes and their Products
كلير محشي بستاشو,Cereals; Legumes and their Products
دونت كراميل,Cereals; Legumes and their Products
دونت فانسي,Cereals; Legumes and their Products
فطيرة دجاج منشوريان,Ready to Eat Foods
كيكة فواكه,Cereals; Legumes and their Products
كيكة شوكليت,Cereals; Legumes and their Products
كيكة كت كات,Cereals; Legumes and their Products
مافن توت,Cereals; Legumes and their Products
انجلش كيك شوكليت,Cereals; Legumes and their Products
انجلش كيك رد فلفت,Cereals; Legumes and their Products
كريمة مانجا موس حلا,Ready to Eat Foods
كروسان كريمة,Cereals; Legumes and their Products
كروسان لوز الموند,Cereals; Legumes and their Products
كيك تشيز مقلوبة,Cereals; Legumes and their Products
تشيز كيك تراميسو,Cereals; Legumes and their Products
كيك كوكونت رز بيري,Cereals; Legumes and their Products
فطيرة دنيش لبنة رمان زعتر,Ready to Eat Foods
فطيرة دنيش جبن طيب مع زيت زيتون,Ready to Eat Foods
برواني كيك,Cereals; Legumes and their Products
كيكة تارت توت,Cereals; Legumes and their Products
تشيز كيك كراميل بيكان,Cereals; Legumes and their Products
مافن كيك بيري,Cereals; Legumes and their Products
مافن كيك شوكليت,Cereals; Legumes and their Products
تشيز كيك مقلوب,Cereals; Legumes and their Products
ملفين كيك,Cereals; Legumes and their Products
فطيرة دينش حلومي,Ready to Eat Foods
كروسان جبن زعتر,Cereals; Legumes and their Products
كروسان شوكليت نوتيلا,Cereals; Legumes and their Products
دنيش عادي,Ready to Eat Foods
دينش حلومي,Ready to Eat Foods
كيك بارتمر,Cereals; Legumes and their Products
فطيرة بيكان سينابون,Ready to Eat Foods
شوكليت كيك,Cereals; Legumes and their Products
تشيز كيك كراميل,Cereals; Legumes and their Products
تشيز كيك مانجا,Cereals; Legumes and their Products
كيك بيكان تمر,Cereals; Legumes and their Products
خبز عريكة,Cereals; Legumes and their Products
كردمون بالهيل,Cereals; Legumes and their Products
كوكيز بالطحينة,Cereals; Legumes and their Products
بنك مادلين,Beverages
كوكن شوكليت,Cereals; Legumes and their Products
سبانش كيك,Cereals; Legumes and their Products
كريم كراميل فلان,Ready to Eat Foods
كيك قرص عقيلي,Cereals; Legumes and their Products
كيكة ليمون,Cereals; Legumes and their Products
شوكليت براوني,Cereals; Legumes and their Products
كروت كيك,Cereals; Legumes and their Products
حلا بستاشو,Cereals; Legumes and their Products
حلا زعتر,Cereals; Legumes and their Products
حلا سمسم,Cereals; Legumes and their Products
خبز دريس,Cereals; Legumes and their Products
خبز بون,Cereals; Legumes and their Products
خبز بروستن,Cereals; Legumes and their Products
كيك كوكونت مانجا,Cereals; Legumes and their Products
كيك تراميسو كيتو,Cereals; Legumes and their Products
كيك كوكونت بيري,Cereals; Legumes and their Products
كعك شوكليت,Cereals; Legumes and their Products
كيكة جزر,Cereals; Legumes and their Products
فطيرة جبن فيتا,Ready to Eat Foods
فطيرة بطاطس,Ready to Eat Foods
انقلش كيك شوكليت,Cereals; Legumes and their Products
كروسان جبن و زعتر,Cereals; Legumes and their Products
فطيرة خبز بالتمر,Cereals; Legumes and their Products
كب كيك سادة,Cereals; Legumes and their Products
تشيز بالكندر,Cereals; Legumes and their Products
فطيرة تفاح بالجنة,Ready to Eat Foods
ساندويتش فلافل,Ready to Eat Foods
مناقيش لبنة بالزيتون,Ready to Eat Foods
حلا رد فلفت,Cereals; Legumes and their Products
سويس رول شوكولاتة,Cereals; Legumes and their Products
كيك نوتيلا بستاشيو,Cereals; Legumes and their Products
كيك رويل سبوت,Cereals; Legumes and their Products
سوفلية شوكليت,Cereals; Legumes and their Products
شوكو موكو شوكليت حلا,Cereals; Legumes and their Products
كيكة حليب,Cereals; Legumes and their Products
مافن بلو بيري,Cereals; Legumes and their Products
براوني حليب شوكليت,Cereals; Legumes and their Products
شوكليت فن دان,Cereals; Legumes and their Products
اكلير شوكليت,Cereals; Legumes and their Products
تشيز كيك كرز,Cereals; Legumes and their Products
دونت شوكليت,Cereals; Legumes and their Products
كيكة طبقات شوكولاتة,Cereals; Legumes and their Products
كيك التمر,Cereals; Legumes and their Products
كيك بودينق تمر,Cereals; Legumes and their Products
سان سبستيان حلا,Cereals; Legumes and their Products
فطيرة بيستو,Ready to Eat Foods
كيك لوفر روشية,Cereals; Legumes and their Products
ميني بيكان كيك,Cereals; Legumes and their Products
ميني شوكليت كيك,Cereals; Legumes and their Products
ميني ماربل كيك,Cereals; Legumes and their Products
ميني كيك ليمون,Cereals; Legumes and their Products
ميني كيك فستق,Cereals; Legumes and their Products
ميني كيك بندق,Cereals; Legumes and their Products
فطيرة مشللت قشطة,Ready to Eat Foods
فطيرة مشللت لبنة عسل,Ready to Eat Foods
براوني بلسوميسي,Cereals; Legumes and their Products
كيك سان سباستيان,Cereals; Legumes and their Products
كيك سان ميلانو,Cereals; Legumes and their Products
دونت نوتيلا زعتر,Cereals; Legumes and their Products
تارت تفاح,Ready to Eat Foods
تارت كاجو,Ready to Eat Foods
تارت فستق,Ready to Eat Foods
بايتس جوز الهند,Cereals; Legumes and their Products
بايتس تمر,Cereals; Legumes and their Products
بايتس بسبوسة,Cereals; Legumes and their Products
بايتس بيكان,Cereals; Legumes and their Products
دونت سادة,Cereals; Legumes and their Products
دونت سينابون,Cereals; Legumes and their Products
دونت دارك شوكليت,Cereals; Legumes and their Products
فرتر تفاح دونت,Cereals; Legumes and their Products
دونت سبرنكل رينج,Cereals; Legumes and their Products
بيرثداي كيك,Cereals; Legumes and their Products
تاجي تيلا دونت,Cereals; Legumes and their Products
قطع خبز محمص,Cereals; Legumes and their Products
بف باستس,Cereals; Legumes and their Products
دقيق مرسى,Cereals; Legumes and their Products
كيكة جزر بندق,Cereals; Legumes and their Products
بف كريم (كاستر تشوك),Ready to Eat Foods
كيكة عسل شوكليت,Cereals; Legumes and their Products
كيكة سان سبيستان,Cereals; Legumes and their Products
عجينة كوكيز,Cereals; Legumes and their Products
ثيرتي مع جبن,Ready to Eat Foods
كروسان مع جبن,Cereals; Legumes and their Products
رول بستاشو روز بيري,Cereals; Legumes and their Products
خبز الحليب,Cereals; Legumes and their Products
خبز فرنسي,Cereals; Legumes and their Products
خبز بالجوز,Cereals; Legumes and their Products
كيندر بايتس حلا,Cereals; Legumes and their Products
كوكيز تشيز كيك,Cereals; Legumes and their Products
دنيس كاستر شوكليت,Ready to Eat Foods
دنيس تمر وسينابون,Ready to Eat Foods
براوني بيكان,Cereals; Legumes and their Products
مكس بار,Cereals; Legumes and their Products
كيك الكاليبوت,Cereals; Legumes and their Products
تشوكليت كراميل تشيس,Ready to Eat Foods
براوني كيك,Cereals; Legumes and their Products
ماجك بار,Cereals; Legumes and their Products
تشيز بان مخبوزات,Cereals; Legumes and their Products
بستاشو ول مخبوزات,Ready to Eat Foods
فطيرة دارك تشوكليت,Ready to Eat Foods
كروسان جبنة فيتا,Cereals; Legumes and their Products
تراميسو تشيز - جبن,Cereals; Legumes and their Products
تشيز كيك - جبن,Cereals; Legumes and their Products
كيك لايرس,Cereals; Legumes and their Products
كيك تشيز مدريد,Cereals; Legumes and their Products
تراميسو تارت,Ready to Eat Foods
كيك مدريد,Cereals; Legumes and their Products
تشيز كيك سينابون,Cereals; Legumes and their Products
دول شيك كيك,Cereals; Legumes and their Products
عصيدة حساوية حلا,Ready to Eat Foods
فيكس - بسكوت,Cereals; Legumes and their Products
بسكوت مطحون,Cereals; Legumes and their Products
كرات جوز الهند,Cereals; Legumes and their Products
سمي شوكليت,Cereals; Legumes and their Products
براوني مطحون,Cereals; Legumes and their Products
سلطة جبن مهروس بارد,Ready to Eat Foods
سلطة جبن مهروس حار,Ready to Eat Foods
سلطة جبن بالشبت,Ready to Eat Foods
سلطة جبن مع زيتون,Ready to Eat Foods
سلطة جبنة بالزيتون,Ready to Eat Foods
سلطة بالجبن العكاوي,Ready to Eat Foods
سلطة جبن بالزيتون,Ready to Eat Foods
سلطة جبنة بالزيتون حار,Ready to Eat Foods
سلطة جبنة بحبة البركة,Ready to Eat Foods
سلطة جبن بالنعناع,Ready to Eat Foods
بشارة جبن,Environmental Swabs
سلطة جبن خضار,Ready to Eat Foods
سلطة جبن خضار حار,Ready to Eat Foods
سلطة جبن بالشبث,Ready to Eat Foods
سلطة جبن خضار بحبة البركة,Ready to Eat Foods
سلطة جبن زيتون بالزعتر,Ready to Eat Foods
سلطة جبن مالح,Ready to Eat Foods
سلطة جبنة زعتر,Ready to Eat Foods
سلطة مشويات لبنة,Ready to Eat Foods
سلطة جبن بالجزر و الزيتون,Ready to Eat Foods
سلطة جبن باردة,Ready to Eat Foods
سلطة جبنة خضار زعتر,Ready to Eat Foods
سلطة جبنة خضار مع الزيتون الحار,Ready to Eat Foods
سلطة الاجبان بالزعتر,Ready to Eat Foods
سلطة الاجبان مفروكة بالخضار,Ready to Eat Foods
سلطة الاجبان مفروكة حارة,Ready to Eat Foods
سلطة فيتا مع شرائح زيتون حار,Ready to Eat Foods
سلطة جبن فيتا مع حبة البركة,Ready to Eat Foods
سلطة قطع جبن بارد التوابل سورية,Ready to Eat Foods
سلطة مفروكه حارة,Ready to Eat Foods
مبشرة جبن,Environmental Swabs
سلطة مع الجبن,Ready to Eat Foods
سلطة فيتا حار,Ready to Eat Foods
سلطة جبن فيتا بالزعتر,Ready to Eat Foods
سلطة مقدوس باللبنة,Ready to Eat Foods
سلطة جبنة بالفلفل الحار,Ready to Eat Foods
سلطة جبنة فيتا البركة,Ready to Eat Foods
سلطة جبنة فيتا بالمقدوس,Ready to Eat Foods
سلطة جبن بالحلوم,Ready to Eat Foods
سلطة شرائح فيتا و زيتون,Ready to Eat Foods
سلطة جبنة فيتا بالشطة,Ready to Eat Foods
سلطة حلومي بالشطة,Ready to Eat Foods
سلطة جبن بالزعتر و الزيتون,Ready to Eat Foods
سلطة جبن بالثوم و النعناع,Ready to Eat Foods
سلطة جبن بحبة البركة,Ready to Eat Foods
سلطة جبن بالجبن الشيدر,Ready to Eat Foods
سلطة جبن بالزيتون حار,Ready to Eat Foods
سلطة حلوم حار,Ready to Eat Foods
سلطة لبنة بالمكدوس حار,Ready to Eat Foods
سلطة لبنية,Ready to Eat Foods
اسبيشل سلطة لبنة حارة,Ready to Eat Foods
سلطة ذرة بالجبن,Ready to Eat Foods
سلطة جبن مع زيتون مع حبة السوداء,Ready to Eat Foods
سلطة جبن بالبقدونس,Ready to Eat Foods
سلطة جبن شامية,Ready to Eat Foods
سلطة جبن افوكادو,Ready to Eat Foods
سلطة جبن بالرمان,Ready to Eat Foods
سلطة جبن مع بقدونس و شبت,Ready to Eat Foods
سلطة جبن مهروس مع زيتون,Ready to Eat Foods
سلطة جبن مع شبت,Ready to Eat Foods
سلطة جبن مع زعتر,Ready to Eat Foods
آلة تقطيع مرتديلا,Environmental Swabs
فطيرة جبنة شيدر,Ready to Eat Foods
سلطة جبنة مع المكدوس,Ready to Eat Foods
سلطة حلوم مع الزعتر و زيتون,Ready to Eat Foods
سلطة جبن بالمكدوس- باذنجان,Ready to Eat Foods
سلطة جبن بالاعشاب,Ready to Eat Foods
سلطة جبن بالخضار و الزيتون,Ready to Eat Foods
سلطة جبن بالزعتر وزيتون,Ready to Eat Foods
سلطة جبن مقروش,Ready to Eat Foods
سلطة جبن حار ناعمة,Ready to Eat Foods
سلطة جبن مقروش حار,Ready to Eat Foods
سلطة جبنة بالزيتون وحبة البركة,Ready to Eat Foods
سلطة جبنة بالزعتر وزيتون,Ready to Eat Foods
سلطة جبنة زعتر حار,Ready to Eat Foods
سلطه جبنه فيتا,Ready to Eat Foods
سلطه جبنه فيتا بالزعتر,Ready to Eat Foods
سلطه جبن حار,Ready to Eat Foods
سلطة جبن بالزيتون - حار,Ready to Eat Foods
سلطة لبنة بالزيتون و الخضار,Ready to Eat Foods
سلطة حلوم بالزعتر,Ready to Eat Foods
سلطة جبنة بالزيتون والفلفل,Ready to Eat Foods
سلطة جبنة بالزعتر و الخضار,Ready to Eat Foods
سلطة سحاوق جبن مع فلفل,Ready to Eat Foods
سلطة جبنه,Ready to Eat Foods
سلطة لبنة بالمقدوس,Ready to Eat Foods
سلطة جبن حار بالزيتون و فلفل رومي,Ready to Eat Foods
سلطة جبن بالزيتون و فلفل رومي,Ready to Eat Foods
سلطة جبن بالزيتون و الفلفل,Ready to Eat Foods
سلطة جبن بالزيتون و الفلفل البارد,Ready to Eat Foods
سلطة جبن بالخضار و الزعتر,Ready to Eat Foods
سلطة جبن بالخضار و حبة البركة,Ready to Eat Foods
سلطة جبن بالزيتون حارة,Ready to Eat Foods
سلطة جبنة حلوم,Ready to Eat Foods
سلطة جبن بالفلفل,Ready to Eat Foods
سلطة جبن مع الزيتون,Ready to Eat Foods
سلطة جبنة فيتا حراق,Ready to Eat Foods
سلطة جبنة متبل حار,Ready to Eat Foods
سلطة جبن بالشبت و زيتون,Ready to Eat Foods
سلطة جبنة فيتا بالحبة السوداء,Ready to Eat Foods
سلطة جبنة فيتا بالشطة البركة,Ready to Eat Foods
صوص سيريال,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
سلطة جبن فيتا حلومي مشوي,Ready to Eat Foods
سلطة جبن بالفلفل بارد,Ready to Eat Foods
سلطة جبن سبايسي,Ready to Eat Foods
سلطة جبن مع زيتون حار,Ready to Eat Foods
زيتون شرائح,Fruit and Vegetables
صوص كاتشب,"Tomato Concentrates, Sauces, Vinegar, Spices and Herbs"
سلطة زبادي,Ready to Eat Foods
سلطة مكدوس,Ready to Eat Foods
سلطة زيتون,Ready to Eat Foods
سلطة فتوش,Ready to Eat Foods
سلطة روسية,Ready to Eat Foods
سلطة مشاوي,Ready to Eat Foods
سلطة مرتديلا,Ready to Eat Foods
سلطة زبادي بالخيار,Ready to Eat Foods
سلطة لبن خيار,Ready to Eat Foods
سلطة مشوي,Ready to Eat Foods
سلطة خيار لبن,Ready to Eat Foods
سلطة لبن بالخيار,Ready to Eat Foods
سلطة جبن حار,Ready to Eat Foods
سلطة كولسلو,Ready to Eat Foods
سلطة مشويات,Ready to Eat Foods
سلطة جبنة حارة,Ready to Eat Foods
سلطة شمندر,Ready to Eat Foods
سلطة مرتديلا لحم - دجاج,Ready to Eat Foods
مسحة ادوات,Environmental Swabs
سلطة مقدوس,Ready to Eat Foods
سلطة حلوم,Ready to Eat Foods
سلطة جبنة,Ready to Eat Foods
سلطة جبن بالزعتر,Ready to Eat Foods
سلطة حجازية,Ready to Eat Foods
سلطة زيتون حار,Ready to Eat Foods
سلطة جبن بالخضار,Ready to Eat Foods
سلطة بطاطس,Ready to Eat Foods
سلطة حمراء حارة م.ك,Ready to Eat Foods
سلطة زبادي وخيار,Ready to Eat Foods
سلطة مرتديلا مكس,Ready to Eat Foods
سلطة سيزر,Ready to Eat Foods
سلطة باردة,Ready to Eat Foods
سلطة جزر,Ready to Eat Foods
سلطة جبنة بالزعتر,Ready to Eat Foods
سلطة امريكية,Ready to Eat Foods
سلطة زبادي مع خيار,Ready to Eat Foods
سلطة ذرة,Ready to Eat Foods
سلطة جبنة بالخضار,Ready to Eat Foods
سلطة حارة م.ك,Ready to Eat Foods
سلطة لبن وخيار,Ready to Eat Foods
سلطة زبادي و خيار,Ready to Eat Foods
سلطة امريكي,Ready to Eat Foods
سلطة فول,Ready to Eat Foods
سلطة مشوي بقدونس مع بصل,Ready to Eat Foods
سلطة جبن فيتا,Ready to Eat Foods
سلطة خيار بالبن,Ready to Eat Foods
سلطة حلومي,Ready to Eat Foods
سلطة جبن بالمكدوس,Ready to Eat Foods
سلطة باذنجان,Ready to Eat Foods
سلطة ناز,Ready to Eat Foods
سلطة ورقيات,Ready to Eat Foods
سلطة جبن حلوم,Ready to Eat Foods
سلطة مرتديلا دجاج + لحم,Ready to Eat Foods
سلطة مرتديلا دجاج,Ready to Eat Foods
سلطة لبنة,Ready to Eat Foods
سلطة بصل مع فلفل,Ready to Eat Foods
سلطة بروكلي,Ready to Eat Foods
سلطة فاصوليا,Ready to Eat Foods
سلطة برغل,Ready to Eat Foods
سلطة باستا,Ready to Eat Foods
سلطة سومطرا,Ready to Eat Foods
سلطة مايونيز,Ready to Eat Foods
حافظة بطاطس,Environmental Swabs
ورق عنب بالرمان,Ready to Eat Foods
سلطة فطر,Ready to Eat Foods
سلطة خيار زبادي,Ready to Eat Foods
سلطة حلومي بالزعتر,Ready to Eat Foods
سلطة خضراء مصرية,Ready to Eat Foods
سلطة جبن بارد,Ready to Eat Foods
سلطة جبن هولندي,Ready to Eat Foods
سلطة مكسيكي,Ready to Eat Foods
سلطة لبن مع خيار,Ready to Eat Foods
سلطة خيار باللبن,Ready to Eat Foods
سلطة جبنة فيتا,Ready to Eat Foods
سلطة جبن زعتر,Ready to Eat Foods
سلطة جبن زيتون,Ready to Eat Foods
سلطة جبن زيتون حار,Ready to Eat Foods
سلطة جبنة حار,Ready to Eat Foods
سلطة حارة معلب,Ready to Eat Foods
سلطة لبنة بالمكدوس,Ready to Eat Foods
سلطة تبولة,Ready to Eat Foods
سلطة مرتديلا دجاج ولحم,Ready to Eat Foods
سلطة مكرونة,Ready to Eat Foods
سلطة فاصوليا حمراء,Ready to Eat Foods
سلطة سوماطرا,Ready to Eat Foods
سلطة مرتديلا مشكل,Ready to Eat Foods
فتة ورق عنب,Ready to Eat Foods
طحينة سائلة,Miscellaneous Foods
سلطة كيل,Ready to Eat Foods
سلطة بلدي,Ready to Eat Foods
سلطة خيار جزر بصل,Ready to Eat Foods
سلطة لبن بصل فلفل,Ready to Eat Foods
سلطة لبن خيار بصل جزر,Ready to Eat Foods
سلطة يوناني,Ready to Eat Foods
سلطة,Ready to Eat Foods
سلطة عادية,Ready to Eat Foods
سلطة ذرة و فلفل رومي,Ready to Eat Foods
سلطة زيتون و فلفل رومي,Ready to Eat Foods
سلطة روسي,Ready to Eat Foods
سلطة زيتون اخضر كامل هالي,Ready to Eat Foods
بشارة جزر,Environmental Swabs
سلطة قول,Ready to Eat Foods
سلطة زيتون حارة,Ready to Eat Foods
سلطة زبادي (بالوفا),Ready to Eat Foods
سلطة بيتو,Ready to Eat Foods
سلطة بيستو,Ready to Eat Foods
سلطة فلفل رومي مع خيار,Ready to Eat Foods
سلطة كبسة,Ready to Eat Foods
سلطة ملفوف / تيستي توست,Ready to Eat Foods
سلطة برجر/ وهمي,Ready to Eat Foods
سلطة جزر مع ملفوف مع خس,Ready to Eat Foods
سلطة جرجير مع بصل مع طماطم,Ready to Eat Foods
سلطة ملفوف مع مايونيز,Ready to Eat Foods
سلطة لبن زبادي,Ready to Eat Foods
سلطة روسية - بصل و طماطم,Ready to Eat Foods
سلطة لبن خيار حار,Ready to Eat Foods
سلطة خيار بالبن بارد,Ready to Eat Foods
سلطة خضراء - سلانترو,Ready to Eat Foods
سلطة بيكو تكالو,Ready to Eat Foods
سلطة زيتون سبايسي,Ready to Eat Foods
سلطة خيار بصل,Ready to Eat Foods
سلطة مشوي بقدونس بصل,Ready to Eat Foods
سلطة دجاج سيزر,Ready to Eat Foods
سلطة فلفل رومي,Ready to Eat Foods
سلطة بن سلطان - شمندر مع زبادي-,Ready to Eat Foods
سلطة نعناع مع زبادي حار,Ready to Eat Foods
سلطة فلفل حار مع كزبرة,Ready to Eat Foods
سلطة لين مع النعناع,Ready to Eat Foods
سلطة خس مع مايونيز,Ready to Eat Foods
سلطة الملفوف,Ready to Eat Foods
سلطة رمان,Ready to Eat Foods
سلطة زبتون,Ready to Eat Foods
سلطة شرائح زيتون,Ready to Eat Foods
سلطة خضار مطبوخه بالبخار,Ready to Eat Foods
سلطة زيتون مع خضار,Ready to Eat Foods
سلطة مانقو صلصة,Ready to Eat Foods
سلطة مكدوس مطحون,Ready to Eat Foods
سلطة خيار مع جرجير و ملفوف,Ready to Eat Foods
سلطة زيتون مشكل,Ready to Eat Foods
سلطة جبنة مكدوس حار,Ready to Eat Foods
سلطة مشوي بصل مع بقدونس,Ready to Eat Foods
مشكل فرن خضار - مطبوخ,Ready to Eat Foods
ايدام خضار مشكل - مطبوخ,Ready to Eat Foods
مشكل خضار بالفرن - مطبوخ,Ready to Eat Foods
بامية - مطبوخ,Ready to Eat Foods
سلطة مكدوس - باذنجان,Ready to Eat Foods
سلطة مشوي بقدونس بالبصل,Ready to Eat Foods
سلطة حجازية حارة,Ready to Eat Foods
سلطة زيتون مع جزر حار,Ready to Eat Foods
