source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,3151,2025-04-19,2025-04,2025-W16,2,5,raw-0099-r01,Raw-0099-R01,كبدة عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,روابي المرعي,روابي المرعي,,روابي المرعي,العليا,بلدية,بلدية العليا,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,date_parsed_from_text,2,True
Data 2025.xlsx,3495,2025-04-26,2025-04,2025-W17,2,5,raw-0130-r01,Raw-0130-R01,كبدة عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,صفوة الانعام للحوم الطازحه,صفوة الانعام للحوم الطازحه,,صفوة الانعام للحوم الطازحه,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,4830,2025-05-26,2025-05,2025-W22,2,0,raw-0234-r01,Raw-0234-R01,كبدة عجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة محمد ناجي بن نامي اللهيبي للحوم الطازجة,مؤسسة محمد ناجي بن نامي اللهيبي للحوم الطازجة,,مؤسسة محمد ناجي بن نامي اللهيبي للحوم الطازجة,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,5361,2025-06-18,2025-06,2025-W25,2,2,raw-0252-r01,Raw-0252-R01,كبدة عجل بلدي نفس العجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة هبرة طرية للتجارة,مؤسسة هبرة طرية للتجارة,,مؤسسة هبرة طرية للتجارة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,5650,2025-06-28,2025-06,2025-W26,2,5,raw-0292-r01,Raw-0292-R01,كبدة عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,8028,2025-08-27,2025-08,2025-W35,3,2,raw-0500-r01,Raw-0500-R01,كبدة عجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة عجول مزارعنا للحوم,ملحمة عجول مزارعنا للحوم,,ملحمة عجول مزارعنا للحوم,الملز,بلدية,بلدية الملز,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,3,True
Data 2025.xlsx,7505,2025-12-08,2025-12,2025-W50,4,0,raw-0466-r01,Raw-0466-R01,كبدة عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة سماء القاهرة,ملحمة سماء القاهرة,,ملحمة سماء القاهرة,النسيم,بلدية,بلدية النسيم,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,,4,True
