source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,7648,2025-08-17,2025-08,2025-W33,3,6,raw-0477-r01,Raw-0477-R01,لحم بطن عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة فيافي البلاد التجارية,ملحمة فيافي البلاد التجارية,,ملحمة فيافي البلاد التجارية,العليا,بلدية,بلدية العليا,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,7502,2025-12-08,2025-12,2025-W50,4,0,raw-0463-r01,Raw-0463-R01,بطن عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة سماء القاهرة,ملحمة سماء القاهرة,,ملحمة سماء القاهرة,النسيم,بلدية,بلدية النسيم,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,,1,False
Data 2025.xlsx,7503,2025-12-08,2025-12,2025-W50,4,0,raw-0464-r01,Raw-0464-R01,بطن عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة سماء القاهرة,ملحمة سماء القاهرة,,ملحمة سماء القاهرة,النسيم,بلدية,بلدية النسيم,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,,2,True
