source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,5943,2025-02-07,2025-02,2025-W06,1,4,raw-0321-r01,Raw-0321-R01,لحم فخذ حاشي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,محل صحاري نجد للحوم الطازج,محل صحاري نجد للحوم الطازج,,محل صحاري نجد للحوم الطازج,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,,0,False
Data 2025.xlsx,6364,2025-07-15,2025-07,2025-W29,3,1,raw-0358-r01,"Raw-0358-R01
",لحم فخذ حاشي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة فيظه ضاري بن فنخير الظفيري للحوم الطازجة,مؤسسة فيظه ضاري بن فنخير الظفيري للحوم الطازجة,,مؤسسة فيظه ضاري بن فنخير الظفيري للحوم الطازجة,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,6429,2025-07-16,2025-07,2025-W29,3,2,raw-0371-r02,"Raw-0371-R02
",لحم فخذ حاشي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمة خبير الحاشي للحوم الطازجة,ملحمة خبير الحاشي للحوم الطازجة,,ملحمة خبير الحاشي للحوم الطازجة,الروضة,بلدية,بلدية الروضة,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,date_parsed_from_text,1,False
