source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,3150,2025-04-19,2025-04,2025-W16,2,5,raw-0098-r01,Raw-0098-R01,لحم كتف عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,روابي المرعي,روابي المرعي,,روابي المرعي,العليا,بلدية,بلدية العليا,False,True,العد الكلي للبكتيريا,العد الكلي للبكتيريا,1,,العد الكلي للبكتيريا,False,indicator_only,date_parsed_from_text,1,False
Data 2025.xlsx,5950,2025-05-07,2025-05,2025-W19,2,2,raw-0322-r01,Raw-0322-R01,لحم كتف عجل بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة قيصر اللحوم التجارية,مؤسسة قيصر اللحوم التجارية,,مؤسسة قيصر اللحوم التجارية,الروضة,بلدية,بلدية الروضة,False,True,السالمونيلا,السالمونيلا,1,السالمونيلا,,True,pathogen,,1,False
Data 2025.xlsx,5656,2025-06-28,2025-06,2025-W26,2,5,raw-0298-r01,Raw-0298-R01,لحم كتف عجل بلدي اخر,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,,شركة حصاد الابداع للمواد الغذائية شركة شخص واحد,الروضة,بلدية,بلدية الروضة,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
