source_file,row_excel,sampling_date,year_month,iso_year_week,quarter,day_of_week,sample_id,sample_id_raw,sample_name,category_canonical,category_en,category_raw,sample_type,facility_name,facility_chain,facility_branch,facility_name_raw,municipality,municipality_type,municipality_raw,is_valid,is_failure,invalid_tests_raw,invalid_tests,n_failed_tests,failed_pathogens,failed_indicators,has_pathogen_failure,severity_tier,data_quality_flags,chain_invalid_count_90d,is_repeat_offender_90d
Data 2025.xlsx,2725,2025-04-08,2025-04,2025-W15,2,1,raw-0074-r01,Raw-0074-R01,لحم حاشي بلدي,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مراعي الأمانة,مراعي الأمانة,,مراعي الأمانة,المعذر,بلدية,بلدية المعذر,False,True,العد الكلي للبكتيريا | السالمونيلا,العد الكلي للبكتيريا | السالمونيلا,2,السالمونيلا,العد الكلي للبكتيريا,True,pathogen,,3,True
Data 2025.xlsx,7971,2025-08-26,2025-08,2025-W35,3,1,raw-0494-r01,Raw-0494-R01,لحم حاشي بلدي يد,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,مؤسسة لحوم المدينة التجارية,مؤسسة لحوم المدينة التجارية,,مؤسسة لحوم المدينة التجارية,الشمال,بلدية,بلدية الشمال,True,False,لا يوجد,,0,,,False,none,date_parsed_from_text,0,False
Data 2025.xlsx,4185,2025-11-05,2025-11,2025-W45,4,2,raw-0171-r01,Raw-0171-R01,لحم حاشي بلدي رجل,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),Raw meat Cold or chilled,لحوم نيئة مبردة ومجمدة (Raw meat Cold or chilled ),raw_meat,ملحمه مؤسسة جود القصيم للتجارة,ملحمه مؤسسة جود القصيم للتجارة,,ملحمه مؤسسة جود القصيم للتجارة,الشمال,بلدية,بلدية الشمال,False,True,العد الكلي للبكتيريا | السالمونيلا,العد الكلي للبكتيريا | السالمونيلا,2,السالمونيلا,العد الكلي للبكتيريا,True,pathogen,,1,False
