sample_id,canonical_category
pis-0231-r01,الحلويات والشوكولاتة
1-3206-r01,الحلويات والشوكولاتة
ses-0196-r01,أغذية متنوعة
ses-0197-r01,أغذية متنوعة
ses-0198-r01,البهارات والصوصات
ses-0202-r01,أغذية متنوعة
ses-0203-r01,أغذية متنوعة
ses-0204-r01,البهارات والصوصات
uu-pe-1340-r01,الفواكه والخضار
uu-pe-1341-r01,الفواكه والخضار
lup-0188-r01,الحلويات والشوكولاتة
ses-0205-r01,البهارات والصوصات
uu-pe-1349-r01,الفواكه والخضار
al-0333-r01,الحلويات والشوكولاتة
pis-0233-r01,الحلويات والشوكولاتة
1-3222-r01,الحلويات والشوكولاتة
uu-pe-1354-r01,الفواكه والخضار
uu-pe-1355-r01,الفواكه والخضار
al-0334-r01,الحلويات والشوكولاتة
pis-0234-r01,الحلويات والشوكولاتة
1-3224-r01,الحلويات والشوكولاتة
zab-0533-r01,الفواكه والخضار
zab-0534-r01,الفواكه والخضار
zab-0535-r01,الفواكه والخضار
al-0335-r01,الحلويات والشوكولاتة
pis-0235-r01,الحلويات والشوكولاتة
1-3227-r01,الحلويات والشوكولاتة
ses-0206-r01,أغذية متنوعة
uu-pe-1364-r01,الفواكه والخضار
uu-pe-1365-r01,الفواكه والخضار
1-3246-r01,الحلويات والشوكولاتة
pis-0237-r01,الحلويات والشوكولاتة
al-0338-r01,الحلويات والشوكولاتة
uu-pe-1358-r01,الفواكه والخضار
uu-pe-1359-r01,الفواكه والخضار
ses-0207-r01,البهارات والصوصات
lup-0192-r01,الحلويات والشوكولاتة
al-0337-r01,الحلويات والشوكولاتة
pis-0236-r01,الحلويات والشوكولاتة
ses-0208-r01,أغذية متنوعة
ses-0209-r01,أغذية متنوعة
uu-pe-1369-r01,الفواكه والخضار
uu-pe-1370-r01,الفواكه والخضار
1-3250-r01,الحلويات والشوكولاتة
al-0339-r01,الحلويات والشوكولاتة
pis-0238-r01,الحلويات والشوكولاتة
pis-0239-r01,الحلويات والشوكولاتة
al-0340-r01,الحلويات والشوكولاتة
1-3269-r01,الحلويات والشوكولاتة
pis-0240-r01,الحلويات والشوكولاتة
al-0341-r01,الحلويات والشوكولاتة
1-3277-r01,الحلويات والشوكولاتة
zab-0536-r01,الفواكه والخضار
zab-0537-r01,الفواكه والخضار
uu-pe-1374-r01,الفواكه والخضار
ses-0210-r01,البهارات والصوصات
ses-0211-r01,أغذية متنوعة
ses-0212-r01,أغذية متنوعة
ses-0213-r01,البهارات والصوصات
uu-pe-1379-r01,الفواكه والخضار
ses-0214-r01,أغذية متنوعة
ses-0215-r01,أغذية متنوعة
al-0342-r01,الحلويات والشوكولاتة
pis-0241-r01,الحلويات والشوكولاتة
1-3288-r01,الحلويات والشوكولاتة
pis-0242-r01,الحلويات والشوكولاتة
al-0343-r01,الحلويات والشوكولاتة
1-3292-r01,الحلويات والشوكولاتة
uu-pe-1384-r01,الفواكه والخضار
uu-pe-1383-r01,الفواكه والخضار
ses-0218-r01,أغذية متنوعة
ses-0217-r01,أغذية متنوعة
ses-0216-r01,البهارات والصوصات
pis-0243-r01,الحلويات والشوكولاتة
al-0344-r01,الحلويات والشوكولاتة
al-0345-r01,الحلويات والشوكولاتة
al-0346-r01,الحلويات والشوكولاتة
uu-pe-1385-r01,الفواكه والخضار
uu-pe-1389-r01,الفواكه والخضار
1-3309-r01,الحلويات والشوكولاتة
pis-0244-r01,الحلويات والشوكولاتة
al-0347-r01,الحلويات والشوكولاتة
ses-0219-r01,الحلويات والشوكولاتة
1-3353-r01,الحلويات والشوكولاتة
1-3310-r01,الحلويات والشوكولاتة
al-0350-r01,الحلويات والشوكولاتة
pis-0245-r01,الحلويات والشوكولاتة
pis-0246-r01,الحلويات والشوكولاتة
al-0351-r01,الحلويات والشوكولاتة
pis-0247-r01,الحلويات والشوكولاتة
1-3334-r01,الحلويات والشوكولاتة
300-0007-r01,الحلويات والشوكولاتة
1-3335-r01,الحلويات والشوكولاتة
1-3336-r01,الحلويات والشوكولاتة
pis-0248-r01,الحلويات والشوكولاتة
pis-0249-r01,الحلويات والشوكولاتة
al-0352-r01,الحلويات والشوكولاتة
1-3344-r01,الحلويات والشوكولاتة
uu-pe-1395-r01,الفواكه والخضار
uu-pe-1399-r01,الفواكه والخضار
ses-0220-r01,أغذية متنوعة
al-0353-r01,الحلويات والشوكولاتة
pis-0250-r01,الحلويات والشوكولاتة
al-0354-r01,الحلويات والشوكولاتة
uu-pe-1403-r01,الفواكه والخضار
al-0355-r01,الحلويات والشوكولاتة
pis-0251-r01,الحلويات والشوكولاتة
1-3360-r01,الحلويات والشوكولاتة
300-0008-r01,الحلويات والشوكولاتة
uu-pe-1408-r01,الفواكه والخضار
uu-pe-1409-r01,الفواكه والخضار
al-0356-r01,الحلويات والشوكولاتة
al-0357-r01,الحلويات والشوكولاتة
pis-0252-r01,الحلويات والشوكولاتة
1-3366-r01,الحلويات والشوكولاتة
uu-pe-1412-r01,الفواكه والخضار
oou-on-0521-r01,الفواكه والخضار
uu-pe-1417-r01,الفواكه والخضار
uu-pe-1418-r01,الفواكه والخضار
ses-0221-r01,أغذية متنوعة
al-0358-r01,الحلويات والشوكولاتة
pis-0253-r01,الحلويات والشوكولاتة
al-0359-r01,الحلويات والشوكولاتة
ses-0222-r01,البهارات والصوصات
ses-0223-r01,أغذية متنوعة
ses-0224-r01,البهارات والصوصات
al-0360-r01,الحلويات والشوكولاتة
pis-0254-r01,الحلويات والشوكولاتة
al-0361-r01,الحلويات والشوكولاتة
al-0362-r01,الحلويات والشوكولاتة
ses-0225-r01,البهارات والصوصات
uu-pe-1425-r01,الفواكه والخضار
al-0363-r01,الحلويات والشوكولاتة
pis-0255-r01,الحلويات والشوكولاتة
al-0364-r01,الحلويات والشوكولاتة
1-3398-r01,الحلويات والشوكولاتة
pis-0256-r01,الحلويات والشوكولاتة
uu-pe-1428-r01,الفواكه والخضار
al-0368-r01,الحلويات والشوكولاتة
pis-0257-r01,الحلويات والشوكولاتة
al-0365-r01,الحلويات والشوكولاتة
pis-0258-r01,الحلويات والشوكولاتة
ses-0226-r01,أغذية متنوعة
uu-pe-1431-r01,الفواكه والخضار
uu-pe-1432-r01,الفواكه والخضار
uu-pe-1436-r01,الفواكه والخضار
uu-pe-1437-r01,الفواكه والخضار
al-0366-r01,الحلويات والشوكولاتة
1-3413-r01,الحلويات والشوكولاتة
pis-0259-r01,الحلويات والشوكولاتة
lup-0197-r01,الحلويات والشوكولاتة
uu-pe-1442-r01,الفواكه والخضار
al-0367-r01,الحلويات والشوكولاتة
1-3425-r01,الحلويات والشوكولاتة
pis-0260-r01,الحلويات والشوكولاتة
uu-pe-1443-r01,الفواكه والخضار
ses-0227-r01,البهارات والصوصات
ses-0228-r01,أغذية متنوعة
uu-pe-1446-r01,الفواكه والخضار
lup-0199-r01,الحلويات والشوكولاتة
1-3435-r01,الحلويات والشوكولاتة
al-0369-r01,الحلويات والشوكولاتة
uu-pe-1448-r01,الفواكه والخضار
uu-pe-1452-r01,الفواكه والخضار
1-3442-r01,الحلويات والشوكولاتة
ses-0229-r01,البهارات والصوصات
pis-0261-r01,الحلويات والشوكولاتة
uu-pe-1449-r01,الفواكه والخضار
al-0370-r01,الحلويات والشوكولاتة
uu-pe-1457-r01,الفواكه والخضار
al-0371-r01,الحلويات والشوكولاتة
al-0372-r01,الحلويات والشوكولاتة
1-3448-r01,الحلويات والشوكولاتة
uu-pe-1458-r01,الفواكه والخضار
ses-0230-r01,أغذية متنوعة
al-0373-r01,الحلويات والشوكولاتة
1-3449-r01,الحلويات والشوكولاتة
pis-0262-r01,الحلويات والشوكولاتة
uu-pe-1462-r01,الفواكه والخضار
uu-pe-1463-r01,الفواكه والخضار
ses-0231-r01,البهارات والصوصات
uu-pe-1467-r01,الفواكه والخضار
uu-pe-1468-r01,الفواكه والخضار
1-3459-r01,الحلويات والشوكولاتة
al-0374-r01,الحلويات والشوكولاتة
uu-pe-1471-r01,الفواكه والخضار
uu-pe-1470-r01,الفواكه والخضار
ses-0233-r01,أغذية متنوعة
ses-0232-r01,البهارات والصوصات
pis-0263-r01,الحلويات والشوكولاتة
1-3462-r01,الحلويات والشوكولاتة
ses-0234-r01,أغذية متنوعة
uu-pe-1476-r01,الفواكه والخضار
uu-pe-1477-r01,الفواكه والخضار
ses-0235-r01,البهارات والصوصات
al-0375-r01,الحلويات والشوكولاتة
1-3465-r01,الحلويات والشوكولاتة
pis-0264-r01,الحلويات والشوكولاتة
pis-0265-r01,الحلويات والشوكولاتة
1-3479-r01,الحلويات والشوكولاتة
uu-pe-1483-r01,الفواكه والخضار
uu-pe-1482-r01,الفواكه والخضار
ses-0237-r01,البهارات والصوصات
ses-0236-r01,أغذية متنوعة
ses-0238-r01,البهارات والصوصات
lup-0201-r01,الحلويات والشوكولاتة
uu-pe-1487-r01,الفواكه والخضار
uu-pe-1488-r01,الفواكه والخضار
ses-0239-r01,أغذية متنوعة
ses-0240-r01,أغذية متنوعة
ses-0241-r01,أغذية متنوعة
ses-0242-r01,أغذية متنوعة
1-3494-r01,الحلويات والشوكولاتة
pis-0266-r01,الحلويات والشوكولاتة
uu-pe-1496-r01,الفواكه والخضار
ses-0244-r01,أغذية متنوعة
ses-0243-r01,البهارات والصوصات
pis-0267-r01,الحلويات والشوكولاتة
lup-0202-r01,الحلويات والشوكولاتة
car-0292-r01,الحلويات والشوكولاتة
al-0376-r01,الحلويات والشوكولاتة
1-3500-r01,أغذية متنوعة
uu-pe-1498-r01,الفواكه والخضار
uu-pe-1497-r01,الفواكه والخضار
se-0001-r01,أغذية متنوعة
ses-0247-r01,أغذية متنوعة
ses-0246-r01,أغذية متنوعة
ses-0245-r01,البهارات والصوصات
uu-pe-1509-r01,الفواكه والخضار
1-3509-r01,الحلويات والشوكولاتة
al-0377-r01,الحلويات والشوكولاتة
pis-0268-r01,الحلويات والشوكولاتة
ses-0251-r01,أغذية متنوعة
uu-pe-1512-r01,الفواكه والخضار
uu-pe-1513-r01,الفواكه والخضار
zab-0568-r01,الفواكه والخضار
zab-0569-r01,الفواكه والخضار
ses-0252-r01,أغذية متنوعة
uu-pe-1523-r01,الفواكه والخضار
al-0378-r01,الحلويات والشوكولاتة
1-3519-r01,الحلويات والشوكولاتة
pis-0269-r01,الحلويات والشوكولاتة
lup-0206-r01,الحلويات والشوكولاتة
lup-0207-r01,الحلويات والشوكولاتة
1-3525-r01,الحلويات والشوكولاتة
al-0379-r01,الحلويات والشوكولاتة
zab-0570-r01,الفواكه والخضار
zab-0571-r01,الفواكه والخضار
1-3527-r01,الحلويات والشوكولاتة
pis-0270-r01,الحلويات والشوكولاتة
al-0380-r01,الحلويات والشوكولاتة
ses-0253-r01,أغذية متنوعة
ses-0254-r01,البهارات والصوصات
ses-0255-r01,البهارات والصوصات
ses-0256-r01,أغذية متنوعة
ses-0257-r01,أغذية متنوعة
uu-pe-1533-r01,الفواكه والخضار
1-3530-r01,الحلويات والشوكولاتة
al-0381-r01,الحلويات والشوكولاتة
ses-0258-r01,البهارات والصوصات
uu-pe-1538-r01,الفواكه والخضار
ses-0260-r01,أغذية متنوعة
uu-pe-1540-r01,الفواكه والخضار
al-0382-r01,الحلويات والشوكولاتة
pis-0271-r01,الحلويات والشوكولاتة
1-3538-r01,الحلويات والشوكولاتة
al-0383-r01,الحلويات والشوكولاتة
pis-0272-r01,الحلويات والشوكولاتة
ses-0263-r01,أغذية متنوعة
ses-0262-r01,أغذية متنوعة
1-3539-r01,الحلويات والشوكولاتة
uu-pe-1544-r01,الفواكه والخضار
uu-pe-1543-r01,الفواكه والخضار
ses-0261-r01,البهارات والصوصات
1-3553-r01,الحلويات والشوكولاتة
al-0384-r01,الحلويات والشوكولاتة
ses-0264-r01,أغذية متنوعة
pis-0273-r01,الحلويات والشوكولاتة
al-0385-r01,الحلويات والشوكولاتة
al-0386-r01,الحلويات والشوكولاتة
ses-0265-r01,أغذية متنوعة
ses-0266-r01,البهارات والصوصات
al-0387-r01,الحلويات والشوكولاتة
pis-0274-r01,الحلويات والشوكولاتة
1-3562-r01,الحلويات والشوكولاتة
ses-0267-r01,أغذية متنوعة
ses-0268-r01,أغذية متنوعة
1-3566-r01,الحلويات والشوكولاتة
al-0388-r01,الحلويات والشوكولاتة
pis-0275-r01,الحلويات والشوكولاتة
ses-0270-r01,البهارات والصوصات
ses-0271-r01,أغذية متنوعة
ses-0272-r01,أغذية متنوعة
uu-pe-1557-r01,الفواكه والخضار
uu-pe-1559-r01,الفواكه والخضار
1-3570-r01,الحلويات والشوكولاتة
al-0389-r01,الحلويات والشوكولاتة
pis-0276-r01,الحلويات والشوكولاتة
uu-pe-1565-r01,الفواكه والخضار
uu-pe-1566-r01,الفواكه والخضار
ses-0273-r01,أغذية متنوعة
1-3574-r01,الحلويات والشوكولاتة
al-0390-r01,الحلويات والشوكولاتة
pis-0277-r01,الحلويات والشوكولاتة
uu-pe-1573-r01,الفواكه والخضار
uu-pe-1572-r01,الفواكه والخضار
lup-0210-r01,الحلويات والشوكولاتة
al-0391-r01,الحلويات والشوكولاتة
1-3598-r01,الحلويات والشوكولاتة
lup-0212-r01,الحلويات والشوكولاتة
uu-pe-1578-r01,الفواكه والخضار
uu-pe-1580-r01,الفواكه والخضار
pis-0278-r01,الحلويات والشوكولاتة
lup-0214-r01,الحلويات والشوكولاتة
al-0392-r01,الحلويات والشوكولاتة
1-3616-r01,الحلويات والشوكولاتة
uu-pe-1582-r01,الفواكه والخضار
ses-0274-r01,أغذية متنوعة
pis-0279-r01,الحلويات والشوكولاتة
1-3626-r01,الحلويات والشوكولاتة
uu-pe-1588-r01,الفواكه والخضار
uu-pe-1589-r01,الفواكه والخضار
pis-0280-r01,الحلويات والشوكولاتة
1-3643-r01,الحلويات والشوكولاتة
al-0393-r01,الحلويات والشوكولاتة
ses-0275-r01,أغذية متنوعة
al-0394-r01,الحلويات والشوكولاتة
pis-0281-r01,الحلويات والشوكولاتة
1-3646-r01,الحلويات والشوكولاتة
al-0395-r01,الحلويات والشوكولاتة
pis-0282-r01,الحلويات والشوكولاتة
1-3650-r01,الحلويات والشوكولاتة
1-3651-r01,الحلويات والشوكولاتة
al-0397-r01,الحلويات والشوكولاتة
pis-0283-r01,الحلويات والشوكولاتة
ses-0279-r01,أغذية متنوعة
ses-0278-r01,أغذية متنوعة
ses-0277-r01,البهارات والصوصات
ses-0280-r01,البهارات والصوصات
zab-0596-r01,الفواكه والخضار
1-3654-r01,الحلويات والشوكولاتة
al-0398-r01,الحلويات والشوكولاتة
pis-0284-r01,الحلويات والشوكولاتة
pis-0285-r01,الحلويات والشوكولاتة
ses-0281-r01,أغذية متنوعة
1-3655-r01,الحلويات والشوكولاتة
ses-0284-r01,أغذية متنوعة
al-0399-r01,الحلويات والشوكولاتة
1-3663-r01,الحلويات والشوكولاتة
pis-0286-r01,الحلويات والشوكولاتة
ses-0283-r01,البهارات والصوصات
ses-0282-r01,أغذية متنوعة
ses-0285-r01,البهارات والصوصات
uu-pe-1609-r01,الفواكه والخضار
1-3664-r01,الحلويات والشوكولاتة
al-0400-r01,الحلويات والشوكولاتة
pis-0287-r01,الحلويات والشوكولاتة
al-0401-r01,الحلويات والشوكولاتة
ses-0286-r01,البهارات والصوصات
pis-0288-r01,الحلويات والشوكولاتة
ses-0288-r01,أغذية متنوعة
ses-0287-r01,أغذية متنوعة
ses-0289-r01,البهارات والصوصات
uu-pe-1616-r01,الفواكه والخضار
1-3672-r01,الحلويات والشوكولاتة
al-0402-r01,الحلويات والشوكولاتة
pis-0289-r01,الحلويات والشوكولاتة
uu-pe-1619-r01,الفواكه والخضار
pis-0290-r01,الحلويات والشوكولاتة
al-0403-r01,الحلويات والشوكولاتة
ses-0290-r01,البهارات والصوصات
uu-pe-1623-r01,الفواكه والخضار
uu-pe-1624-r01,الفواكه والخضار
al-0404-r01,الحلويات والشوكولاتة
1-3677-r01,الحلويات والشوكولاتة
pis-0291-r01,الحلويات والشوكولاتة
uu-pe-1626-r01,الفواكه والخضار
pis-0292-r01,الحلويات والشوكولاتة
ses-0292-r01,أغذية متنوعة
al-0405-r01,الحلويات والشوكولاتة
pis-0293-r01,الحلويات والشوكولاتة
1-3691-r01,الحلويات والشوكولاتة
uu-pe-1633-r01,الفواكه والخضار
al-0406-r01,الحلويات والشوكولاتة
pis-0294-r01,الحلويات والشوكولاتة
uu-pe-1632-r01,الفواكه والخضار
1-3693-r01,الحلويات والشوكولاتة
lup-0219-r01,الحلويات والشوكولاتة
lup-0220-r01,الحلويات والشوكولاتة
uu-pe-1635-r01,الفواكه والخضار
pis-0295-r01,الحلويات والشوكولاتة
al-0407-r01,الحلويات والشوكولاتة
1-3714-r01,الحلويات والشوكولاتة
ses-0293-r01,أغذية متنوعة
pis-0296-r01,الحلويات والشوكولاتة
al-0408-r01,الحلويات والشوكولاتة
al-0409-r01,الحلويات والشوكولاتة
1-3722-r01,الحلويات والشوكولاتة
1-3723-r01,الحلويات والشوكولاتة
ses-0294-r01,البهارات والصوصات
se-0005-r01,البهارات والصوصات
lup-0221-r01,الحلويات والشوكولاتة
uu-pe-1639-r01,الفواكه والخضار
al-0410-r01,الحلويات والشوكولاتة
1-3735-r01,الحلويات والشوكولاتة
1-3739-r01,الحلويات والشوكولاتة
pis-0297-r01,الحلويات والشوكولاتة
al-0412-r01,الحلويات والشوكولاتة
1-3738-r01,الحلويات والشوكولاتة
1-3737-r01,الحلويات والشوكولاتة
pis-0298-r01,الحلويات والشوكولاتة
zab-0604-r01,الفواكه والخضار
al-0411-r01,الحلويات والشوكولاتة
ses-0295-r01,البهارات والصوصات
uu-pe-1645-r01,الفواكه والخضار
1-3741-r01,الحلويات والشوكولاتة
al-0413-r01,الحلويات والشوكولاتة
pis-0299-r01,الحلويات والشوكولاتة
pis-0300-r01,الحلويات والشوكولاتة
al-0414-r01,الحلويات والشوكولاتة
1-3754-r01,الحلويات والشوكولاتة
ses-0297-r01,أغذية متنوعة
ses-0298-r01,أغذية متنوعة
lup-0222-r01,الحلويات والشوكولاتة
pis-0301-r01,الحلويات والشوكولاتة
al-0415-r01,الحلويات والشوكولاتة
1-3757-r01,الحلويات والشوكولاتة
ses-0299-r01,أغذية متنوعة
ses-0300-r01,أغذية متنوعة
al-0416-r01,الحلويات والشوكولاتة
pis-0302-r01,الحلويات والشوكولاتة
1-3758-r01,الحلويات والشوكولاتة
uu-pe-1648-r01,الفواكه والخضار
ses-0301-r01,أغذية متنوعة
al-0417-r01,الحلويات والشوكولاتة
1-3762-r01,الحلويات والشوكولاتة
uu-pe-1653-r01,الفواكه والخضار
uu-pe-1654-r01,الفواكه والخضار
pis-0303-r01,الحلويات والشوكولاتة
al-0418-r01,الحلويات والشوكولاتة
1-3763-r01,الحلويات والشوكولاتة
uu-pe-1656-r01,الفواكه والخضار
uu-pe-1657-r01,الفواكه والخضار
1-3766-r01,الحلويات والشوكولاتة
pis-0304-r01,الحلويات والشوكولاتة
al-0419-r01,الحلويات والشوكولاتة
al-0420-r01,الحلويات والشوكولاتة
pis-0305-r01,الحلويات والشوكولاتة
1-3772-r01,الحلويات والشوكولاتة
al-0421-r01,الحلويات والشوكولاتة
pis-0306-r01,الحلويات والشوكولاتة
1-3774-r01,الحلويات والشوكولاتة
1-3775-r01,الحلويات والشوكولاتة
al-0422-r01,الحلويات والشوكولاتة
ses-0303-r01,البهارات والصوصات
lup-0224-r01,الحلويات والشوكولاتة
pis-0307-r01,الحلويات والشوكولاتة
al-0423-r01,الحلويات والشوكولاتة
1-3777-r01,الحلويات والشوكولاتة
ses-0304-r01,أغذية متنوعة
uu-pe-1674-r01,الفواكه والخضار
1-3778-r01,الحلويات والشوكولاتة
pis-0308-r01,الحلويات والشوكولاتة
al-0424-r01,الحلويات والشوكولاتة
ses-0305-r01,أغذية متنوعة
ses-0306-r01,أغذية متنوعة
lup-0225-r01,الحلويات والشوكولاتة
al-0425-r01,الحلويات والشوكولاتة
pis-0309-r01,الحلويات والشوكولاتة
1-3783-r01,الحلويات والشوكولاتة
uu-pe-1680-r01,الفواكه والخضار
ses-0307-r01,أغذية متنوعة
al-0426-r01,الحلويات والشوكولاتة
1-3785-r01,الحلويات والشوكولاتة
1-3786-r01,الحلويات والشوكولاتة
al-0427-r01,الحلويات والشوكولاتة
pis-0310-r01,الحلويات والشوكولاتة
ses-0309-r01,البهارات والصوصات
1-3787-r01,الحلويات والشوكولاتة
pis-0311-r01,الحلويات والشوكولاتة
al-0428-r01,الحلويات والشوكولاتة
se-0007-r01,أغذية متنوعة
lup-0227-r01,الحلويات والشوكولاتة
uu-pe-1688-r01,الفواكه والخضار
uu-pe-1689-r01,الفواكه والخضار
pis-0312-r01,الحلويات والشوكولاتة
1-3793-r01,الحلويات والشوكولاتة
al-0429-r01,الحلويات والشوكولاتة
ses-0311-r01,أغذية متنوعة
ses-0312-r01,البهارات والصوصات
1-3796-r01,الحلويات والشوكولاتة
pis-0313-r01,الحلويات والشوكولاتة
ses-0310-r01,أغذية متنوعة
al-0430-r01,الحلويات والشوكولاتة
uu-pe-1704-r01,الفواكه والخضار
uu-pe-1705-r01,الفواكه والخضار
1-3811-r01,الحلويات والشوكولاتة
pis-0315-r01,الحلويات والشوكولاتة
al-0432-r01,الحلويات والشوكولاتة
ses-0313-r01,البهارات والصوصات
uu-pe-1714-r01,الفواكه والخضار
uu-pe-1715-r01,الفواكه والخضار
lup-0230-r01,الحلويات والشوكولاتة
1-3812-r01,الحلويات والشوكولاتة
al-0433-r01,الحلويات والشوكولاتة
1-3816-r01,الحلويات والشوكولاتة
al-0434-r01,الحلويات والشوكولاتة
pis-0316-r01,الحلويات والشوكولاتة
lup-0232-r01,الحلويات والشوكولاتة
1-3817-r01,الحلويات والشوكولاتة
al-0435-r01,الحلويات والشوكولاتة
pis-0317-r01,الحلويات والشوكولاتة
pis-0318-r01,الحلويات والشوكولاتة
al-0436-r01,الحلويات والشوكولاتة
1-3820-r01,الحلويات والشوكولاتة
uu-pe-1723-r01,الفواكه والخضار
uu-pe-1722-r01,الفواكه والخضار
1-3821-r01,الحلويات والشوكولاتة
al-0437-r01,الحلويات والشوكولاتة
pis-0319-r01,الحلويات والشوكولاتة
ses-0314-r01,البهارات والصوصات
1-3827-r01,الحلويات والشوكولاتة
pis-0320-r01,الحلويات والشوكولاتة
al-0438-r01,الحلويات والشوكولاتة
pe-0053-r01,الفواكه والخضار
ses-0315-r01,البهارات والصوصات
ses-0316-r01,أغذية متنوعة
pe-0054-r01,الفواكه والخضار
al-0439-r01,الحلويات والشوكولاتة
pis-0321-r01,الحلويات والشوكولاتة
1-3830-r01,الحلويات والشوكولاتة
lup-0235-r01,الحلويات والشوكولاتة
al-0440-r01,الحلويات والشوكولاتة
1-3834-r01,الحلويات والشوكولاتة
pis-0322-r01,الحلويات والشوكولاتة
pe-0061-r01,الفواكه والخضار
pe-0062-r01,الفواكه والخضار
al-0441-r01,الحلويات والشوكولاتة
1-3835-r01,الحلويات والشوكولاتة
pis-0323-r01,الحلويات والشوكولاتة
pe-0065-r01,الفواكه والخضار
pe-0066-r01,الفواكه والخضار
al-0442-r01,الحلويات والشوكولاتة
1-3836-r01,الحلويات والشوكولاتة
pis-0324-r01,الحلويات والشوكولاتة
ses-0317-r01,البهارات والصوصات
lup-0236-r01,الحلويات والشوكولاتة
1-3839-r01,الحلويات والشوكولاتة
pis-0325-r01,الحلويات والشوكولاتة
al-0443-r01,الحلويات والشوكولاتة
fish-0038-r01,الأسماك والمأكولات البحرية
fish-0039-r01,الأسماك والمأكولات البحرية
bot-0009-r01,مياه شرب/معبأة
sh-0004-r01,الأسماك والمأكولات البحرية
sh-0005-r01,الأسماك والمأكولات البحرية
fish-0051-r01,الأسماك والمأكولات البحرية
bot-0010-r01,مياه شرب/معبأة
sh-0006-r01,الأسماك والمأكولات البحرية
sh-0007-r01,الأسماك والمأكولات البحرية
1-2452-r01,الأسماك والمأكولات البحرية
1-2453-r01,الأسماك والمأكولات البحرية
bot-0016-r01,مياه شرب/معبأة
bot-0017-r01,مياه شرب/معبأة
bot-0018-r01,مياه شرب/معبأة
bot-0019-r01,مياه شرب/معبأة
bot-0020-r01,مياه شرب/معبأة
ubot-0877-r01,مياه شرب/معبأة
ubot-0879-r01,مياه شرب/معبأة
ubot-0881-r01,مياه شرب/معبأة
ubot-0882-r01,مياه شرب/معبأة
ubot-0893-r01,مياه شرب/معبأة
bot-0023-r01,مياه شرب/معبأة
1-3035-ٌ01,الحليب ومنتجات الألبان
1-3036-ٌ01,الحليب ومنتجات الألبان
1-3037-ٌ01,الحليب ومنتجات الألبان
bot-0025-r01,مياه شرب/معبأة
ubot-1004-r01,مياه شرب/معبأة
raw-0319-r01,اللحوم والدواجن
raw-0320-r01,اللحوم والدواجن
raw-0321-r01,اللحوم والدواجن
bot-0027-r01,مياه شرب/معبأة
ubot-1118-r01,مياه شرب/معبأة
ubot-1119-r01,مياه شرب/معبأة
bot-0028-r01,مياه شرب/معبأة
ubot-1176,مياه شرب/معبأة
uu-pe-0419-r01,الفواكه والخضار
uu-pe-422-r01,الفواكه والخضار
o2u-gin-0060-ro1,الفواكه والخضار
uu-pe-0430-r01,الفواكه والخضار
co-0079-r01,الفواكه والخضار
uu-pe-0433-r01,الفواكه والخضار
uu-pe-0442-r01,الفواكه والخضار
uo2-co-0061-r01,الفواكه والخضار
uu-pe-0695-r01,الفواكه والخضار
uu-pr-0447-r01,الفواكه والخضار
uu-pe-0453-r01,الفواكه والخضار
uu-pe-0455-r01,الفواكه والخضار
o2u-gin-0061-r01,الفواكه والخضار
veg-0007-r01,الفواكه والخضار
o2u-gin-0062-r01,الفواكه والخضار
cor-0082-r01,الفواكه والخضار
uu-pe-0476-r01,الفواكه والخضار
uu-pe-0477-r01,الفواكه والخضار
uu-pe-0478-r01,الفواكه والخضار
uu-pe-0479-r01,الفواكه والخضار
uu-pe-0482-r01,الفواكه والخضار
uoss-be-0145-r01,الفواكه والخضار
uu-pe-0483-r01,الفواكه والخضار
o2u-gin-0063-r01,الفواكه والخضار
o2u-gin-0064-r01,الفواكه والخضار
uo2-co-0062-r01,الفواكه والخضار
co-0090-r01,الفواكه والخضار
uu-pe-0503-r01,الفواكه والخضار
o2u-gin-0065-r01,الفواكه والخضار
uu-pe-0504-r01,الفواكه والخضار
uu-pe-0506-r01,الفواكه والخضار
o2u-gin-0066-r01,الفواكه والخضار
uo2-co-0063-r01,الفواكه والخضار
o2u-gin-0067-r01,الفواكه والخضار
uo2-co-0064-r01,الفواكه والخضار
o2u-gin-0068-r01,الفواكه والخضار
uoss-be-0162-r01,الفواكه والخضار
uo2-co-0065-r01,الفواكه والخضار
o2u-gin-0069-r01,الفواكه والخضار
uo2-co-0066-r01,الفواكه والخضار
uu-pe-0516-r01,الفواكه والخضار
uo2-co-0067-r01,الفواكه والخضار
o2u-gin-0070-r01,الفواكه والخضار
uu-pe-0532-r01,الفواكه والخضار
o2u-gin-0071-r01,الفواكه والخضار
uu-pe-0533-r01,الفواكه والخضار
uu-pe-0534-r01,الفواكه والخضار
o2u-gin-0072-r01,الفواكه والخضار
uo2-co-0068-r01,الفواكه والخضار
o2u-gin-0073-r01,الفواكه والخضار
o2u-gin-0074-r01,الفواكه والخضار
uu-pe-0545-r01,الفواكه والخضار
uo2-co-0069-r01,الفواكه والخضار
uu-pe-0546-r01,الفواكه والخضار
uu-pe-0549-r01,الفواكه والخضار
uo2-co-0070-r01,الفواكه والخضار
o2u-gin-0075-r01,الفواكه والخضار
uu-pe-0550-r01,الفواكه والخضار
uu-pe-0551-r01,الفواكه والخضار
uu-pe-0553-r01,الفواكه والخضار
uu-pe-0555-r01,الفواكه والخضار
uo2-co-0071-r01,الفواكه والخضار
